Thread,Throughput,ReadLatency,Update Latency
5,499.7726035,1520.480853,741.7820651
5,999.3104758,811.1310485,607.8542223
5,4984.051037,722.8611947,485.7229883
5,7352.941176,663.7594659,449.2900058
5,7375.719133,741.2369913,486.2715053
5,7390.983001,740.6160926,489.9991422
5,7404.116689,743.1332362,491.7598766
5,7448.234768,633.3089764,424.5537615
5,7453.230976,654.4950442,420.8785125
10,499.7800968,988.7971387,680.4704997
10,999.3004897,828.5130621,607.6481655
10,4980.575755,787.134543,526.3004114
10,9939.369844,732.0056696,491.4270257
10,13412.01717,666.4025314,440.7491248
10,14037.05783,761.0617519,497.861266
10,14068.65504,772.9367813,518.9142183
10,14156.28539,782.2494384,521.5156362
10,14190.43565,701.3814445,456.1170068
10,14200.51122,731.3412578,481.6631516
50,499.5304414,897.654361,662.8632629
50,998.711662,847.1052558,624.9235969
50,4977.600796,796.1502918,538.9053845
50,9907.856931,827.4235396,558.0745042
50,14817.00993,916.3548439,600.001922
50,19661.81675,901.1084614,603.0001201
50,24473.81302,950.3532357,642.7275378
50,29239.76608,1121.681763,834.7855448
50,34989.50315,1338.441031,1056.919068
50,35676.06136,1315.169947,1065.177297
100,499.2137384,871.0155388,639.2208501
100,997.9840722,834.5708867,597.2851962
100,4969.931912,883.522795,582.6105029
100,9900.0099,881.6640655,586.8121473
100,14764.50613,1125.538394,671.3176934
100,19588.63859,1170.690282,768.0351677
100,24366.47173,1311.771076,903.4527417
100,29180.04085,1572.072932,1119.499332
100,35932.447,2425.659106,2016.399735
100,35945.36305,2353.833998,2018.07038
150,498.9461698,881.8552962,644.3910665
150,997.4937844,845.4830943,618.0670944
150,4962.002682,897.7307099,593.1561069
150,9866.666667,1020.216405,690.1462559
150,14738.86102,1229.393972,746.6042242
150,19466.09509,1573.890677,947.0468465
150,24312.48479,1617.775085,1076.440195
150,29108.39161,2113.043222,1581.046578
150,36078.0065,3641.212634,3160.317433
150,36459.85401,3478.905244,2999.826871
200,498.6138535,875.3289649,637.1494456
200,996.8996421,835.2989301,597.7532353
200,4961.794185,910.5857126,573.3229433
200,9860.960458,997.3708655,633.4036979
200,12840.26708,1637.283002,934.1941173
200,19557.98944,1735.085003,1145.132802
200,24301.33657,2316.197645,1415.707592
200,28935.18519,3023.067926,2150.221218
200,34806.82214,4956.822934,4060.758813
200,35727.04537,4714.607628,4117.394759
250,496.3789158,870.1733126,631.9156211
250,986.6116795,845.1511607,604.0599819
250,4726.344645,845.079729,594.0307597
250,8977.466559,1220.983186,802.3375548
250,14671.3615,1707.810841,1068.411127
250,16353.22976,2345.264767,1343.799176
250,19477.98987,2574.016528,1728.487556
250,27495.18834,6364.515365,4984.81078
250,29868.57826,5880.54829,4820.640837
250,32092.42619,5578.919174,4786.776346
300,495.946543,859.723594,620.0774307
300,995.5752212,848.5966594,610.8374412
300,4719.164816,850.2050248,585.2731939
300,8948.405589,1175.33795,704.6020386
300,12797.84781,1994.814817,1088.902
300,19462.30275,2601.685239,1778.173375
300,22324.02235,3783.752794,3253.425487
300,27482.80605,6280.87856,4966.075269
300,29460.33618,6744.602653,5920.723391
300,32029.49663,7287.097707,5924.778027
350,495.450301,845.2118348,622.7387106
350,986.090928,849.8122018,607.7139277
350,4713.192213,841.5527628,579.563957
350,8962.264151,1729.162777,868.5305694
350,12775.35861,3053.826496,1671.25505
350,16104.29448,3266.384395,1987.469416
350,19414.16894,3850.850329,2382.763816
350,22295.48502,5524.039147,4209.647378
350,29338.23529,8067.112397,6148.405259
350,33710.71308,7106.267146,5827.765357
350,36338.79781,7470.8616,6515.482117
400,495.0936222,847.3306374,624.395401
400,984.4651401,854.9117836,611.3504174
400,4709.206499,842.4150769,570.7790385
400,8956.560681,1216.470479,758.7389629
400,12748.59765,2005.0714,1102.326038
400,16157.69914,3202.062391,1882.58041
400,19409.93789,4055.954798,2898.807077
400,29620.85308,7485.200116,5639.1219
400,34025.17863,8707.355667,7073.115566
450,495.0225213,842.0303231,617.6530368
450,984.2558474,843.2521408,605.1381033
450,4689.260233,848.5477546,578.6887887
450,8922.829582,1133.029866,764.9055566
450,12765.14183,2001.832656,1209.933629
450,19296.89009,5548.901913,3747.225698
450,22244.48898,6562.481739,4853.288461
450,29538.73448,9621.209049,7250.566118
450,31504.25733,9310.615792,7571.797581
450,34869.10995,11731.25265,9134.373955
500,494.8339337,848.2795865,620.4594006
500,984.21322,857.0331308,610.3870406
500,4708.541294,888.4420829,625.7377678
500,8950.948801,1132.511486,845.8609536
500,12725.88445,4644.948724,1846.540567
500,15969.33887,4402.856762,2773.528139
500,19316.2063,5775.799964,4371.775745
500,22036.13927,6609.581912,5193.915182
500,27159.15263,8818.829087,6992.459352
500,29886.43156,12669.82568,9194.121156
500,35100.0351,11312.06837,9278.188068
