Thread,Throughput,Read Latency,UpdateLatency
5,496.2828415,4417.938497,48.78129447
5,992.7726154,927.7382299,72.36089017
5,4763.946453,930.4645622,24.12747574
5,8747.375787,976.5716288,54.63374543
5,8772.69936,965.6371324,68.2388203
5,8847.208706,950.0927658,53.51469325
5,9021.19982,953.214955,52.57003011
5,9095.043201,1008.952933,23.46631472
5,9125.752875,966.4228486,53.03001545
10,497.4951121,2072.407563,87.79211686
10,992.6346509,1013.455524,86.61373905
10,4789.272031,942.7946174,153.47701
10,9361.542782,1100.433435,43.81549476
10,13157.89474,1059.151728,88.62806745
10,13539.12808,1122.741234,101.7327068
10,13795.00621,1122.933874,103.4702908
10,13960.63102,1147.830832,57.73101792
10,14044.94382,1131.208591,73.42838526
10,14178.36382,1105.063089,84.09495555
50,496.9166323,2129.672329,394.7929033
50,987.9275256,1653.167906,438.6056972
50,4735.745406,2023.076349,441.5196151
50,9035.872413,2454.236057,379.7198234
50,12970.16861,2887.15649,351.0626401
50,16035.92046,3175.040195,411.041445
50,17076.50273,4277.405678,434.0905313
50,17889.08766,3924.655153,376.9892364
50,17924.3592,4061.191328,335.5672445
50,18796.99248,4002.794858,460.9348352
100,497.2650423,2470.264509,783.2790964
100,988.4353069,2454.551027,798.5989893
100,4709.206499,3371.392254,759.358521
100,8815.232722,4135.481239,873.5661974
100,12704.86596,5477.43655,942.5316851
100,15987.21023,6224.973445,920.2097311
100,18338.52925,8436.325918,778.1656107
100,18395.87932,8107.535734,936.4429863
100,18446.78104,8245.004279,759.7038891
100,19054.87805,7870.793893,976.6618898
150,496.333393,2925.185075,1207.862729
150,990.0303253,3248.160722,1156.686142
150,4663.430119,4360.173517,1330.431106
150,9069.450749,6555.750889,1176.010711
150,13001.04112,8017.683118,1212.456006
150,16241.26158,9186.099633,1115.035594
150,17425.43171,12958.85012,1299.073153
150,18153.73433,12322.30326,1529.521344
150,18176.8559,12153.69341,1564.566522
150,18575.67869,12436.00084,1161.573541
200,495.8177771,3473.647973,1378.742453
200,987.2350508,4108.342514,1442.646977
200,4609.994468,5784.270184,1676.674477
200,8809.796494,7745.40132,1806.00242
200,12430.0808,8949.146007,1735.7831
200,15264.84506,11539.78716,1691.929994
200,18185.12457,16456.80264,1620.507001
200,18477.4575,16866.43875,1654.05637
200,18504.81125,16966.37829,1766.112067
200,18632.38308,16192.14919,1760.277068
250,496.9388566,3645.270505,1551.980732
250,986.8063985,4646.785822,2100.611565
250,4722.773212,6282.972021,2127.571218
250,8749.671887,9875.903031,2110.062245
250,12539.18495,12190.18943,1980.686589
250,15610.36528,14340.19333,2184.623204
250,17937.21973,21090.59167,2057.851618
250,18142.23512,20926.79366,1993.324273
250,18155.41031,20790.1819,1985.893658
250,18238.19077,20155.30836,2266.215809
300,496.5134715,4094.489822,2033.150091
300,987.6421157,6693.319177,2226.365852
300,4675.871753,8019.251049,2549.943842
300,8727.939892,11342.20748,2792.89709
300,12209.72867,15024.02151,2630.061031
300,15680.42693,17401.52784,2925.067515
300,16165.04854,19995.76816,2804.592494
300,16770.18634,24894.99932,2674.323059
300,17728.4827,25881.44128,2402.651374
300,17747.37964,24923.68312,2871.612387
350,496.5997232,3800.037804,1986.852462
350,986.363951,5923.538944,2614.905584
350,4590.850515,8884.422341,3233.292846
350,8876.134544,13217.0623,3161.280072
350,12604.24564,15639.86745,3030.658981
350,15259.29325,22349.44788,3083.408446
350,17780.74866,29632.11599,3056.783907
350,18306.11121,23647.58592,2676.997762
350,18346.51462,27951.73114,3385.483278
350,18383.70807,28595.9282,3346.528184
400,495.5941678,4195.092978,2363.279567
400,988.9827324,6244.208842,3119.179778
400,4644.89758,11686.07994,4174.536418
400,8921.402444,15336.86903,3840.897334
400,12944.98382,17545.01299,3355.103598
400,15391.71926,23685.68483,3708.206097
400,17082.33686,35868.43555,3633.021222
400,17182.13058,36038.61286,3533.834453
400,17325.01733,35377.09337,3384.042316
400,17550.01755,34699.92043,3783.709577
450,496.533214,4332.091203,2471.077385
450,990.6881266,7040.890059,3295.061698
450,4683.76389,11726.78469,3478.28578
450,8771.62174,16766.3453,4182.95182
450,12286.31165,21945.50042,4073.400971
450,16058.51149,29889.6018,4440.822707
450,17922.49731,37902.30415,4028.046458
450,18087.99565,38352.42154,4358.119098
450,18173.54921,37909.89811,4361.554659
450,18233.25424,37464.1686,4243.000302
500,497.2403162,4784.762576,2248.706949
500,990.87405,7657.354682,3425.631631
500,4707.433037,12725.2344,4662.443726
500,8934.155276,18823.43228,4350.336066
500,12884.93751,26276.29889,4456.693626
500,16477.17911,30790.92034,4927.212909
500,17111.56742,45340.80654,4049.756733
500,17587.05593,43383.47837,4320.549272
500,17966.2235,43151.4387,4213.131913
